Data;hora;preciptacao;temperatura;humidade
15/01/2023;1700 UTC;0;30,5;47
15/01/2023;1800 UTC;3;22,9;87
15/01/2023;1900 UTC;0,2;23;87
15/01/2023;2000 UTC;0;26,2;64
15/01/2023;2100 UTC;0;25,5;70
15/01/2023;2200 UTC;0;24,2;78
15/01/2023;2300 UTC;0;23,7;81
16/01/2023;0000 UTC;0;22,4;88
16/01/2023;0100 UTC;0;22,4;86
16/01/2023;0200 UTC;0;22,5;85
16/01/2023;0300 UTC;0;22;88
16/01/2023;0400 UTC;0;22,3;87
16/01/2023;0500 UTC;0;21,7;90
16/01/2023;0600 UTC;0;21,6;90
16/01/2023;0700 UTC;0;21,1;86
16/01/2023;0800 UTC;0;21;88
16/01/2023;0900 UTC;4;21,3;91
16/01/2023;1000 UTC;13,2;20,5;92
16/01/2023;1100 UTC;0,6;22,1;92
16/01/2023;1200 UTC;0,2;21,9;89
16/01/2023;1300 UTC;0,2;23,5;84
16/01/2023;1400 UTC;0;27,4;63
16/01/2023;1500 UTC;0;30;51
16/01/2023;1600 UTC;0;29,4;63
16/01/2023;1700 UTC;0;29;60
16/01/2023;1800 UTC;0;28,2;60
16/01/2023;1900 UTC;0;30,8;44
16/01/2023;2000 UTC;0;30,9;43
16/01/2023;2100 UTC;0;30,3;44
16/01/2023;2200 UTC;0;27,7;55
16/01/2023;2300 UTC;0;25,7;67
17/01/2023;0000 UTC;0;24,1;74
17/01/2023;0100 UTC;0;22,7;79
17/01/2023;0200 UTC;0;22,5;81
17/01/2023;0300 UTC;0;21,3;86
17/01/2023;0400 UTC;0;21,3;86
17/01/2023;0500 UTC;0;20,5;89
17/01/2023;0600 UTC;0;21,2;88
17/01/2023;0700 UTC;0;20,5;89
17/01/2023;0800 UTC;0;20,7;89
17/01/2023;0900 UTC;0;20,3;89
17/01/2023;1000 UTC;0;21,2;87
17/01/2023;1100 UTC;0;23,4;78
17/01/2023;1200 UTC;0;25,5;64
17/01/2023;1300 UTC;0;28;49
17/01/2023;1400 UTC;0;29,9;41
17/01/2023;1500 UTC;0;30,3;37
17/01/2023;1600 UTC;0;31,2;34
17/01/2023;1700 UTC;0;32;31
17/01/2023;1800 UTC;0;31,5;35
17/01/2023;1900 UTC;0;32,1;31
17/01/2023;2000 UTC;0;31,8;31
17/01/2023;2100 UTC;0;29,8;37
17/01/2023;2200 UTC;0;27,5;48
17/01/2023;2300 UTC;0;27,3;50
18/01/2023;0000 UTC;0;25,2;59
18/01/2023;0100 UTC;0;23,4;68
18/01/2023;0200 UTC;0;22,3;74
18/01/2023;0300 UTC;0;21,6;79
18/01/2023;0400 UTC;0;21;81
18/01/2023;0500 UTC;0;20,2;86
18/01/2023;0600 UTC;0;20;87
18/01/2023;0700 UTC;0;19,7;90
18/01/2023;0800 UTC;0;19,3;90
18/01/2023;0900 UTC;0;19,3;91
18/01/2023;1000 UTC;0;21;88
18/01/2023;1100 UTC;0;23,1;78
18/01/2023;1200 UTC;0;24,8;71
18/01/2023;1300 UTC;0;27,8;57
18/01/2023;1400 UTC;0;28,8;52
18/01/2023;1500 UTC;0;29,3;46
18/01/2023;1600 UTC;0;30,7;39
18/01/2023;1700 UTC;0;27,3;52
18/01/2023;1800 UTC;1,2;23,7;77
18/01/2023;1900 UTC;0;26,9;59
18/01/2023;2000 UTC;0;25,8;58
18/01/2023;2100 UTC;0,2;23,6;71
18/01/2023;2200 UTC;0;22,3;78
18/01/2023;2300 UTC;0;22,1;78
19/01/2023;0000 UTC;0;21,4;81
19/01/2023;0100 UTC;0;20,6;88
19/01/2023;0200 UTC;0;20;90
